기업명,최저_연봉,최고_연봉,평균_연봉
에이엠(주),"3,688만원","7,854만원","7,177만원"
(주)티오에스코리아,"2,364만원","4,574만원","3,225만원"
(주)신한저축은행,"4,387만원","9,885만원","8,822만원"
(주)에이치에스씨엠티,"3,478만원","7,434만원","6,356만원"
주식회사 휴비즈,"2,808만원","6,569만원","4,299만원"
(주)코리아인,"2,454만원","4,611만원","3,278만원"
SK텔레콤(주),"6,187만원","14,769만원","15,136만원"
한국평가데이터(주),"4,478만원","10,468만원","8,750만원"
(주)한국갤럽조사연구소,"3,069만원","7,386만원","5,322만원"
에이스휴먼파워(주),"2,512만원","4,715만원","3,449만원"
(주)인텔리빅스,"3,223만원","7,374만원","5,853만원"
엔에이치투자증권(주),"6,185만원","14,238만원","13,796만원"
넛지헬스케어(주),"2,763만원","5,943만원","3,818만원"
웨이즈원(주),"2,987만원","6,696만원","5,139만원"
(주)씨아이템프러리,"2,555만원","5,201만원","4,002만원"
(주)엔씨아이티에스,"3,691만원","8,161만원","7,329만원"
하나증권(주),"4,661만원","11,478만원","9,147만원"
(주)사람인에이치에스,"2,562만원","4,915만원","3,589만원"
동호에이치알(주),"2,577만원","4,964만원","3,650만원"
티맵모빌리티(주),"4,492만원","9,636만원","9,119만원"
(주)컬리넥스트마일,"3,142만원","6,599만원","5,464만원"
(주)앰진,"3,105만원","7,175만원","5,390만원"
(주)마크클라우드,"2,797만원","6,348만원","4,428만원"
한국피앤지(유),"5,138만원","9,308만원","9,883만원"
(사)한국아이씨티에이아이기술협회,"3,028만원","5,655만원","4,624만원"
(주)비하베스트,"3,601만원","7,972만원","6,459만원"
(주)엠제이코리아,"2,824만원","5,799만원","4,268만원"
전국렌터카공제조합,"4,320만원","10,156만원","8,213만원"
(주)제이슨,"3,395만원","7,713만원","5,988만원"
(주)아크릴,"3,134만원","7,540만원","5,482만원"
(주)트리플하이엠,"2,900만원","6,486만원","4,744만원"
(주)퍼포먼스바이티비더블유에이,"2,893만원","6,520만원","4,732만원"
더큼(주),"2,568만원","5,205만원","3,951만원"
(주)클루커스,"2,910만원","6,814만원","4,743만원"
주식회사 빅밸류,"3,483만원","7,837만원","6,182만원"
(주)딥브레인에이아이,"4,306만원","8,907만원","8,171만원"
(주)디케이테크인,"3,101만원","6,967만원","5,677만원"
(주)포지큐브,"3,686만원","7,986만원","6,646만원"
(주)밀리웨이,"3,871만원","7,313만원","6,690만원"
(주)스카이월드와이드,"2,919만원","7,240만원","4,915만원"
(주)크래프톤,"4,867만원","10,799만원","9,743만원"
㈜와이즈넛,"3,116만원","7,588만원","5,532만원"
(주)시큐어포인트,"3,334만원","7,531만원","5,806만원"
(주)엔미디어플랫폼,"3,452만원","7,848만원","6,576만원"
(주)이크레더블,"3,418만원","7,536만원","6,225만원"
올거나이즈코리아(주),"4,259만원","9,083만원","8,248만원"
(주)에스앤제이코어,"2,657만원","5,879만원","4,187만원"
(주)시스트란,"3,458만원","8,100만원","6,877만원"
(주)한국사업자경험,"2,987만원","6,673만원","5,070만원"
메가존소프트(주),"3,611만원","8,270만원","7,076만원"
(주)경동도시가스,"5,048만원","9,632만원","9,348만원"
(주)펀진,"3,894만원","8,430만원","7,250만원"
(주)카카오엔터테인먼트,"3,858만원","9,606만원","9,014만원"
메가존클라우드(주),"3,874만원","8,393만원","7,146만원"
(주)오디너리크파트너스,"2,972만원","5,796만원","4,363만원"
(주)미소정보기술,"3,177만원","7,225만원","5,736만원"
(주)지지옥션,"2,938만원","5,931만원","4,918만원"
(주)휴머스온,"3,179만원","7,243만원","5,734만원"
(주)메이아이,"3,469만원","8,132만원","6,923만원"
(주)이너버스,"3,393만원","7,695만원","5,982만원"
"(주)브레이브모바일(숨고, Soomgo)","3,079만원","7,118만원","5,472만원"
(주)메이사,"3,664만원","8,231만원","6,667만원"
(주)라스커,"2,280만원","5,296만원","2,874만원"
(주)한국에스리,"3,462만원","7,566만원","6,341만원"
주식회사 에스티씨랩,"3,434만원","7,843만원","6,519만원"
(주)크레이버코퍼레이션,"3,057만원","6,666만원","5,257만원"
(주)채널코퍼레이션,"4,035만원","9,593만원","8,417만원"
(주)업스테이지,"4,371만원","10,159만원","8,631만원"
(주)베스텔라랩,"2,915만원","6,305만원","4,753만원"
(주)모빌린트,"3,967만원","9,194만원","8,176만원"
리디(주),"3,080만원","7,303만원","5,589만원"
(주)이스트소프트,"3,081만원","7,289만원","5,481만원"
(주)에스투더블유,"3,772만원","8,677만원","7,579만원"
(주)케이에스씨앤씨,"3,084만원","7,289만원","5,344만원"
(주)네이블,"3,466만원","7,921만원","6,620만원"
에이아이콴텍 주식회사,"4,078만원","8,936만원","7,421만원"
시큐레터(주),"3,656만원","8,215만원","6,636만원"
(주)이글루코퍼레이션,"2,905만원","6,683만원","4,698만원"
엔카닷컴(주),"3,111만원","6,949만원","5,517만원"
(주)인텔리코드,"3,109만원","7,115만원","5,576만원"
블루닷(주),"3,602만원","8,252만원","6,842만원"
(주)엠더블유네트웍스,"2,959만원","6,257만원","5,003만원"
(주)기어세컨드,"3,075만원","6,745만원","5,296만원"
(주)에스피파트너스,"2,812만원","6,508만원","4,316만원"
(주)그루텍,"2,553만원","5,354만원","3,143만원"
(주)딥노이드,"3,103만원","7,385만원","5,569만원"
(주)리마커블교육,"2,627만원","5,542만원","4,147만원"
(주)소타텍코리아,"2,977만원","6,783만원","5,088만원"
(주)쓰리아이,"3,627만원","7,960만원","7,107만원"
(주)아이이에이,"2,581만원","6,229만원","3,933만원"
팀스파르타(주),"2,572만원","5,466만원","4,006만원"
(주)뷰런테크놀로지,"3,051만원","7,029만원","5,370만원"
(주)플래티어,"3,301만원","7,498만원","6,097만원"
(주)디에스앤지,"3,728만원","7,910만원","6,773만원"
콘텐츠웨이브(주),"4,334만원","10,149만원","8,420만원"
(주)브이피피랩,"3,349만원","7,160만원","5,850만원"
(주)유베이스,"2,473만원","4,472만원","3,194만원"
주식회사 페이블랩,"3,776만원","7,697만원","6,661만원"
(주)빗썸코리아,"4,378만원","10,125만원","8,703만원"
이니텍(주),"3,425만원","7,714만원","6,028만원"
아일리스프런티어(주),"3,461만원","8,109만원","6,890만원"
(주)비바이노베이션,"3,243만원","7,521만원","5,682만원"
(주)코레이즈홀딩스,"2,587만원","6,163만원","3,932만원"
(주)진인프라,"3,124만원","6,938만원","5,442만원"
(주)나눔스페이스,"2,941만원","6,708만원","4,960만원"
(주)넥서스커뮤니티,"3,709만원","8,443만원","7,382만원"
(주)케이티디에스,"4,385만원","9,451만원","8,580만원"
(주)마인즈앤컴퍼니,"3,788만원","8,275만원","7,425만원"
(주)유비씨,"2,891만원","6,834만원","4,800만원"
(주)스마트인사이드에이아이,"2,590만원","5,892만원","4,011만원"
(주)와따에이아이,"3,600만원","8,166만원","7,018만원"
(주)네트로,"3,010만원","6,858만원","5,205만원"
(주)비바리퍼블리카,"5,059만원","10,057만원","8,747만원"
(주)카카오페이,"4,294만원","10,016만원","8,257만원"
엔에이치엔(주),"4,231만원","9,914만원","8,243만원"
매드업,"2,973만원","7,003만원","5,187만원"
(주)코아아이티,"2,794만원","6,481만원","4,506만원"
(주)고우아이티,"3,184만원","7,305만원","5,754만원"
(주)사이버다임,"3,273만원","7,561만원","6,010만원"
(주)웰로,"3,009만원","6,480만원","5,105만원"
(주)엑셈,"3,417만원","8,341만원","6,162만원"
서울대학교병원,"3,263만원","6,082만원","5,248만원"
(주)데이터누리,"3,110만원","7,199만원","5,584만원"
(주)투이컨설팅,"3,691만원","9,048만원","7,325만원"
(주)메이머스트,"3,443만원","7,556만원","6,248만원"
(주)씨알에스큐브,"3,308만원","8,015만원","6,123만원"
(주)씨앤에이아이,"3,475만원","8,141만원","6,947만원"
(주)바이스벌사,"3,414만원","7,696만원","6,434만원"
(주)트라이얼인포매틱스,"3,043만원","7,011만원","5,338만원"
(주)엠트리센,"3,618만원","7,529만원","6,917만원"
(주)아이브,"3,980만원","8,556만원","7,704만원"
(주)어반데이터랩,"3,269만원","7,243만원","5,763만원"
(주)뉴엔에이아이,"3,071만원","7,106만원","5,441만원"
(주)시어스랩,"3,795만원","8,660만원","7,653만원"
(주)모빅랩,"3,800만원","8,663만원","7,647만원"
(주)피알원,"2,864만원","6,443만원","4,630만원"
(주)더존비즈온,"3,243만원","7,195만원","5,698만원"
(주)데이터유니버스,"3,323만원","7,567만원","6,169만원"
(주)아하랩스,"3,509만원","8,008만원","6,736만원"
마인드원(주),"3,384만원","7,793만원","6,345만원"
(주)헥토데이터,"3,322만원","7,697만원","6,297만원"
(주)포니링크,"3,019만원","6,589만원","5,143만원"
렉스소프트(주),"3,074만원","7,176만원","5,294만원"
(주)한싹,"2,965만원","6,813만원","5,051만원"
(주)씨에스리,"2,819만원","6,289만원","4,248만원"
에이플랫폼(주),"3,226만원","7,291만원","5,845만원"
(주)퍼플아카데미,"2,552만원","5,312만원","3,911만원"
(주)애드팝콘,"3,587만원","7,976만원","6,832만원"
슈어데이터랩(주),"3,307만원","7,556만원","6,218만원"
㈜아이엔소프트,"3,498만원","7,810만원","6,721만원"
(주)미디어윌네트웍스,"3,049만원","6,570만원","5,228만원"
(주)코딧,"2,843만원","6,256만원","4,335만원"
(주)인크로스,"2,975만원","7,186만원","5,448만원"
솔트웨어(주),"2,900만원","6,471만원","4,312만원"
(주)엠투커뮤니티,"2,926만원","6,670만원","4,922만원"
(주)아이트럭,"3,065만원","7,107만원","5,265만원"
(주)아이리브,"4,213만원","8,732만원","8,123만원"
(주)딥인사이트,"4,052만원","8,795만원","7,666만원"
(주)날리지큐브,"3,439만원","7,642만원","6,291만원"
주식회사포인랩,"4,672만원","9,925만원","8,514만원"
국립중앙의료원,"3,530만원","6,941만원","6,827만원"
(주)파인앤애플시스템즈,"3,869만원","7,401만원","6,589만원"
알비에치(주),"3,770만원","8,134만원","6,730만원"
하이퍼커넥트 유한책임회사,"4,124만원","10,846만원","9,167만원"
(주)에이아이네이션,"3,480만원","8,153만원","6,969만원"
(주)포소드,"3,422만원","6,921만원","5,975만원"
(주)모핑아이,"2,806만원","6,368만원","4,464만원"
(주)리드워크,"2,576만원","5,769만원","3,596만원"
(주)시큐브,"3,411만원","7,803만원","6,447만원"
지미디어(주),"3,613만원","7,696만원","6,879만원"
(주)오션정보기술,"2,962만원","6,843만원","5,049만원"
(주)심네트,"3,012만원","6,735만원","5,224만원"
지니언스(주),"3,443만원","8,106만원","6,837만원"
(주)퀀텀에이아이,"2,987만원","6,805만원","5,128만원"
(주)로이드케이,"2,874만원","6,544만원","4,621만원"
(주)더컴퍼니,"2,705만원","6,119만원","4,192만원"
(주)에이아이트릭스,"3,896만원","9,168만원","7,968만원"
트리노드 주식회사,"3,459만원","8,608만원","6,354만원"
(주)어센트코리아,"3,426만원","7,933만원","6,494만원"
(주)아티언스,"3,072만원","7,027만원","5,308만원"
(주)다비오,"3,666만원","8,249만원","7,248만원"
이스트시큐리티,"3,521만원","8,122만원","6,792만원"
에이케이아이에스(주),"3,907만원","8,748만원","7,145만원"
(주)에프엘이에스,"2,208만원","5,215만원","2,649만원"
(주) 더블유닷에이아이,"4,597만원","9,045만원","7,858만원"
㈜다날,"3,184만원","7,971만원","5,766만원"
(주)제니스클라우드,"3,020만원","7,152만원","5,256만원"
카페24(주),"3,633만원","7,571만원","6,764만원"
에버엑스 주식회사,"3,448만원","7,192만원","6,011만원"
소방청,"2,453만원","5,264만원","3,601만원"
(주)바이오리서치에이아이,"2,835만원","5,970만원","4,383만원"
(주)노르마,"3,275만원","7,520만원","6,003만원"
(주)덱스터스튜디오,"2,744만원","6,208만원","4,336만원"
(주)퓨전소프트,"2,934만원","6,768만원","4,915만원"
(주)커넥트웨이브,"2,799만원","6,741만원","4,278만원"
(주)라텔앤드파트너즈,"3,339만원","7,272만원","5,849만원"
(주)토란,"3,347만원","6,724만원","5,566만원"
어니컴(주),"2,802만원","6,459만원","4,243만원"
(주)퍼스트씨앤디,"3,277만원","6,437만원","5,334만원"
(주)일만백만,"2,852만원","5,853만원","4,345만원"
인포그랩(유),"3,063만원","6,607만원","5,252만원"
(주)바딧,"2,934만원","6,200만원","4,751만원"
안진회계법인,"4,684만원","11,040만원","8,729만원"
(주)에프에스솔루션,"4,003만원","9,305만원","8,285만원"
(주)마크로밀엠브레인,"3,360만원","7,310만원","5,911만원"
(주)써로마인드,"3,604만원","8,011만원","6,468만원"
(사)한국정보통신진흥협회,"4,187만원","8,099만원","8,185만원"
(주)대교씨엔에스,"2,994만원","6,732만원","5,168만원"
(주)엔키아,"3,513만원","7,795만원","6,766만원"
이마고웍스(주),"3,270만원","7,474만원","6,002만원"
(주)디지티모빌리티,"2,958만원","6,888만원","4,982만원"
(주)스펙터,"3,642만원","7,544만원","6,629만원"
(주)아이에스컴퍼니,"2,811만원","5,830만원","4,485만원"
(주)한국이디에스,"2,625만원","6,263만원","3,845만원"
(주)유플러스아이티,"2,818만원","6,544만원","4,354만원"
(주)플레인비트,"3,056만원","6,823만원","5,240만원"
(주)지비소프트,"3,085만원","7,270만원","5,332만원"
(주)바이브온코퍼레이션,"2,998만원","6,829만원","5,172만원"
(주)나온소프트,"3,319만원","7,411만원","6,155만원"
팩트블록(주),"3,445만원","7,345만원","6,067만원"
(주)윕스,"3,202만원","6,901만원","5,681만원"
이데아텍(주),"2,944만원","6,755만원","4,997만원"
(주)라이너스,"2,466만원","5,517만원","3,308만원"
(주)알체라,"2,627만원","5,945만원","3,853만원"
㈜더아이엠씨,"2,596만원","6,059만원","4,014만원"
(주)아이넥스코퍼레이션,"3,656만원","7,747만원","6,955만원"
(주)파인더스,"2,794만원","5,547만원","4,141만원"
㈜지에스아이티엠,"3,585만원","8,343만원","7,438만원"
(주)파이오링크,"3,201만원","7,383만원","5,619만원"
이스트소프트,"3,081만원","7,289만원","5,481만원"
알서포트(주),"3,301만원","7,875만원","6,316만원"
주식회사비큐에이아이,"2,467만원","5,586만원","3,331만원"
(주)센트비,"3,442만원","7,657만원","6,201만원"
주식회사 자이온,"2,878만원","6,761만원","4,636만원"
(주)데일리페이,"3,970만원","8,102만원","7,047만원"
(주)보다나,"2,917만원","6,300만원","4,771만원"
(주)페이먼트인앱,"2,727만원","6,026만원","3,970만원"
(주)마인드에이아이,"3,229만원","7,419만원","5,636만원"
(주)엑스디노드,"2,931만원","6,073만원","4,465만원"
주식회사웨어러블에이아이,"2,575만원","5,276만원","4,007만원"
(주)피엠에스,"2,366만원","5,797만원","3,342만원"
(주)클럼엘,"3,970만원","9,085만원","8,179만원"
(주)이파피루스,"3,464만원","8,140만원","6,614만원"
(주)다이퀘스트,"3,315만원","7,353만원","6,141만원"
아토머스(주),"2,792만원","6,421만원","4,429만원"
(주)두플,"3,877만원","8,684만원","7,316만원"
엔아이티서비스 주식회사,"3,216만원","7,467만원","5,610만원"
(주)이씨에스텔레콤,"4,036만원","9,792만원","8,419만원"
(주)옵트에이아이,"2,959만원","6,745만원","5,017만원"
(주)소프트위즈,"2,898만원","6,835만원","4,828만원"
(주)위볼린,"2,799만원","6,242만원","4,277만원"
(주)에이텍씨앤,"2,631만원","6,015만원","4,107만원"
스마일샤크(주),"3,096만원","7,235만원","5,366만원"
(주)지오투정보기술,"3,112만원","6,945만원","5,405만원"
(주)메가웍스,"2,655만원","5,969만원","3,959만원"
(주)유투바이오,"2,910만원","7,166만원","4,776만원"
(주)클라우드네트웍스,"3,649만원","8,095만원","6,596만원"
(주)씽크풀,"2,977만원","6,559만원","5,024만원"
(주)에이아이콴텍,"4,078만원","8,936만원","7,421만원"
디토닉(주),"3,510만원","8,027만원","6,758만원"
(주)핀크,"4,377만원","9,249만원","8,179만원"
(주)펄어비스,"4,607만원","10,351만원","10,098만원"
(주)카카오뱅크,"5,065만원","11,143만원","10,706만원"
오픈헬스케어(주),"4,376만원","8,892만원","8,382만원"
아이넷캅,"2,995만원","6,889만원","5,053만원"
(주)지오비전,"3,420만원","7,901만원","6,216만원"
코나아이(주),"3,005만원","7,407만원","5,302만원"
(주)큐빅,"3,303만원","7,427만원","6,087만원"
(주)인사이터,"3,169만원","7,770만원","5,574만원"
피아스페이스(주),"2,946만원","6,345만원","4,945만원"
(주)텐소프트웍스,"2,646만원","5,950만원","3,925만원"
(주)에이아이구루,"4,311만원","9,144만원","7,833만원"
(주)엠폴,"3,036만원","6,994만원","5,309만원"
(주)레뷰코퍼레이션,"2,911만원","6,534만원","4,779만원"
비앤에프테크놀로지㈜,"3,075만원","7,069만원","5,463만원"
디에스글로벌 주식회사,"2,545만원","5,694만원","3,800만원"
(주)코아칩스,"3,670만원","7,511만원","6,575만원"
(주)업사이트,"2,453만원","4,653만원","3,055만원"
(주)포스로직,"3,165만원","7,179만원","5,676만원"
(주)씨에이에스,"3,148만원","7,410만원","5,521만원"
(주)쉬모스랩,"3,166만원","7,210만원","5,555만원"
(주)샌즈랩,"2,821만원","6,752만원","4,573만원"
법무법인와이케이,"3,569만원","7,831만원","6,679만원"
(주)엔텔스,"3,309만원","7,616만원","6,122만원"
(주)글로벌아이티정보기술,"3,113만원","6,008만원","4,938만원"
퓨렌스(주),"2,891만원","6,562만원","4,687만원"
핌즈(주),"3,029만원","6,977만원","5,282만원"
(주)그레이비랩,"3,461만원","7,127만원","5,979만원"
세종지능경영원(주),"2,666만원","5,572만원","3,780만원"
(주)스탠스,"3,036만원","6,994만원","5,308만원"
나두모두,"2,553만원","5,759만원","3,854만원"
(주)싸이트플래닝건축사사무소,"2,898만원","6,520만원","4,847만원"
(주)글로벌머니익스프레스,"2,653만원","6,565만원","4,096만원"
(주)엘앤제이테크,"2,813만원","6,251만원","4,219만원"
(주)알스퀘어,"3,706만원","7,323만원","6,687만원"
(주)지니수,"2,587만원","5,254만원","3,556만원"
(주)피닉스다트,"2,891만원","6,795만원","4,626만원"
(주)딥바이오,"3,730만원","8,054만원","6,783만원"
피엠인터내셔널코리아(유),"2,902만원","5,988만원","4,700만원"
(주)포스웨이브,"3,087만원","6,836만원","5,355만원"
(주)모비위드,"3,534만원","7,562만원","6,642만원"
(주)데이터쿡,"3,088만원","6,955만원","5,337만원"
넥스트리서치(주),"3,745만원","7,874만원","6,794만원"
딥퓨전에이아이(주),"4,492만원","8,289만원","8,102만원"
(주)뉴로코어,"3,160만원","7,364만원","5,545만원"
(주)비지에프네트웍스,"3,430만원","7,051만원","6,048만원"
(주)씨어스테크놀로지,"3,664만원","7,598만원","6,598만원"
(주)엠오브에스,"2,914만원","6,436만원","4,869만원"
(주)메쥬,"3,186만원","7,088만원","5,588만원"
(주)티라유텍,"3,269만원","7,443만원","5,996만원"
111퍼센트(주),"3,727만원","8,127만원","6,750만원"
(주)와이즈스톤,"3,044만원","6,834만원","5,340만원"
슈퍼센트(주),"3,142만원","7,070만원","5,509만원"
(주)브이씨,"3,138만원","6,844만원","5,437만원"
(주)휴먼아이티에스,"3,053만원","6,828만원","5,229만원"
엔시큐어(주),"3,119만원","7,546만원","5,434만원"
(주)세이코어,"2,771만원","6,604만원","4,416만원"
위즈코어(주),"3,464만원","7,979만원","6,902만원"
(주)한국픽셀,"2,494만원","5,374만원","3,659만원"
(주)이엠솔루션,"2,793만원","6,340만원","4,412만원"
(주)케이엠에스테크놀로지,"3,429만원","7,724만원","6,484만원"
(주)아이디에스앤트러스트,"3,305만원","7,674만원","6,228만원"
(주)밸류그램컴퍼니,"2,535만원","5,316만원","3,408만원"
㈜동화엔텍,"4,707만원","9,326만원","8,940만원"
아주약품(주),"3,613만원","7,923만원","6,729만원"
(주)엠지데이터시스템,"3,528만원","8,042만원","6,797만원"
(주)올랩컴퍼니,"3,118만원","6,876만원","5,412만원"
(주)두핸즈,"2,867만원","5,995만원","4,626만원"
주식회사 부릉,"3,599만원","7,695만원","6,780만원"
한영회계법인,"4,695만원","11,473만원","8,763만원"
(주)에코브레인,"3,382만원","7,026만원","5,946만원"
(주)야놀자,"3,822만원","8,522만원","7,785만원"
투아이시스(주),"3,479만원","7,541만원","6,344만원"
에스디바이오센서(주),"3,877만원","7,258만원","6,451만원"
(주)지엠코퍼레이션,"2,761만원","5,821만원","3,978만원"
㈜뉴시스통신사,"3,004만원","7,438만원","5,100만원"
(주)휴런,"3,475만원","8,162만원","6,963만원"
(주)릿지트레이딩그룹,"4,808만원","10,667만원","9,097만원"
(주)네오위즈,"4,275만원","8,966만원","8,350만원"
(주)티지에스,"2,548만원","5,444만원","3,793만원"
인카금융서비스(주),"3,117만원","6,583만원","5,435만원"
(주)지오시스템리서치,"3,243만원","7,432만원","5,729만원"
(주)지아이티,"4,021만원","9,523만원","8,836만원"
(주)라이언앤코,"2,812만원","6,346만원","4,303만원"
(주)엔비티,"4,520만원","10,169만원","8,787만원"
(주)닷코,"2,625만원","5,379만원","4,153만원"
(주)한국정보통계,"2,590만원","5,714만원","3,676만원"
(주)온품,"3,977만원","8,337만원","7,338만원"
(주)애드포러스,"3,594만원","7,989만원","6,854만원"
(주)스튜디오갈릴레이,"3,347만원","7,238만원","5,886만원"
(주)루닛,"3,905만원","9,315만원","8,184만원"
주식회사오프리메드,"2,018만원","4,523만원","2,968만원"
(주)아비커스,"4,235만원","9,864만원","9,034만원"
(주)상상스퀘어,"2,828만원","6,209만원","4,359만원"
현대오토에버(주),"4,392만원","10,177만원","9,407만원"
(주)티피씨인터넷,"3,108만원","7,195만원","5,578만원"
(주)텔로스,"2,710만원","6,157만원","4,168만원"
축산물품질평가원,"3,619만원","7,691만원","6,652만원"
(주)써머스플랫폼,"2,837만원","6,505만원","4,597만원"
(주)이지식스,"3,172만원","7,272만원","5,706만원"
라파라드(주),"2,103만원","5,164만원","2,998만원"
(주)네오플,"4,746만원","10,558만원","9,450만원"
(주)이노시그널,"3,112만원","6,227만원","4,913만원"
(주)파수,"3,186만원","7,284만원","5,773만원"
오마이어스(주),"2,096만원","5,597만원","2,950만원"
딜로이트컨설팅(유),"4,339만원","10,415만원","8,805만원"
(주)하이,"2,768만원","6,681만원","4,426만원"
(주)난소프트,"3,448만원","7,757만원","6,542만원"
(주)더블유위안,"3,165만원","6,787만원","5,552만원"
인포그램(주),"3,329만원","7,081만원","5,516만원"
(주)서북,"2,615만원","5,626만원","3,969만원"
(주)에스와이폴라리스,"3,755만원","8,521만원","7,505만원"
(주)포유디지탈,"2,848만원","5,813만원","4,344만원"
(주)버블콘,"3,172만원","7,047만원","5,586만원"
(주)베이스인 네트웍스,"3,077만원","6,771만원","5,300만원"
(주)로엔코리아,"2,972만원","6,624만원","5,061만원"
(주)에이바이트,"3,088만원","7,074만원","5,493만원"
(주)아이티제이엘,"3,703만원","6,728만원","6,151만원"
주식회사 심플비트,"2,829만원","6,226만원","4,279만원"
(주)메타덱스터,"3,620만원","7,994만원","7,074만원"
(주)타인에이아이,"3,319만원","7,454만원","6,136만원"
(주)커뮤,"3,011만원","6,897만원","5,114만원"
(주)인티그리트,"3,642만원","7,392만원","6,492만원"
(주)슈가힐,"3,097만원","6,427만원","5,366만원"
(주)링크글로벌21,"3,021만원","6,889만원","5,249만원"
(주)아이비피,"3,088만원","7,078만원","5,496만원"
(주)에이엠시지,"3,594만원","7,903만원","7,092만원"
