기업명,최저_연봉,최고_연봉,평균_연봉
행복쇼핑(주),"2,488만원","5,971만원","3,603만원"
(주)퀀텀인텔리전스,"4,167만원","8,742만원","7,990만원"
엔에이치엔링크(주),"3,076만원","7,416만원","5,319만원"
(주)디엠씨미디어,"3,008만원","7,029만원","5,147만원"
(주)아론티어,"3,786만원","8,639만원","7,604만원"
(주)오상헬스케어,"3,558만원","7,450만원","6,425만원"
(주)오스랩스,"3,084만원","7,199만원","5,324만원"
(주)코보시스,"3,474만원","7,908만원","6,382만원"
(주)창의와탐구,"2,604만원","5,509만원","4,100만원"
(주)리브포워드,"2,965만원","6,121만원","4,561만원"
(주)파스토,"3,937만원","9,164만원","8,098만원"
호전실업(주),"3,361만원","7,301만원","5,823만원"
(주)마스터코리아,"3,815만원","7,373만원","6,823만원"
(주)엔이에스,"2,600만원","6,223만원","4,010만원"
오로라월드(주),"2,796만원","6,293만원","4,534만원"
(주)뉴마핏,"2,628만원","5,340만원","3,619만원"
(주)하이브랩,"2,881만원","6,896만원","4,655만원"
(주)알파코,"2,974만원","6,413만원","5,016만원"
(주)이큐브랩,"3,075만원","6,639만원","5,244만원"
(주)싸이드워크엔터테인먼트,"2,894만원","6,524만원","4,699만원"
(주)아이리스브라이트,"2,550만원","5,486만원","3,797만원"
(주)큐버스랩,"3,147만원","7,138만원","5,604만원"
주식회사 리앤로,"3,177만원","6,693만원","5,545만원"
(주)미리디,"3,011만원","7,100만원","5,326만원"
(주)티클,"2,845만원","6,262만원","4,345만원"
(주)위즈코리아,"3,041만원","7,029만원","5,348만원"
(주)모바휠,"3,432만원","7,549만원","6,282만원"
(주)크라우드웍스,"2,971만원","6,831만원","5,073만원"
(주)코빗,"4,419만원","9,997만원","8,405만원"
정유니브(주),"2,590만원","6,169만원","3,942만원"
(주)디비스쿨,"3,032만원","6,071만원","4,647만원"
(주)카르노플릿,"4,664만원","8,878만원","8,354만원"
(주)비솔,"3,450만원","7,457만원","6,253만원"
(주)플랜티넷,"3,138만원","7,330만원","5,495만원"
(주)콜로세움코퍼레이션,"3,147만원","6,545만원","5,486만원"
울랄라랩(주),"3,120만원","7,199만원","5,421만원"
(주)엠지스,"2,664만원","5,620만원","3,613만원"
(주)와탭랩스,"3,833만원","8,849만원","7,772만원"
아이헤이트플라잉버그스(주),"2,861만원","5,512만원","4,243만원"
(주)오래,"2,892만원","6,720만원","4,676만원"
(주)어뮤즈랩,"3,218만원","7,277만원","5,819만원"
(주)데카사이트,"3,006만원","5,802만원","4,378만원"
이씨이십일알앤씨(주),"2,824만원","6,153만원","4,342만원"
(주)인터엑스,"3,283만원","7,466만원","6,040만원"
(주)메타스타,"3,850만원","8,377만원","7,040만원"
(주)카펜스트리트,"3,421만원","7,798만원","6,459만원"
슈퍼무브(주),"3,185만원","6,737만원","5,359만원"
이에이트(주),"2,657만원","6,012만원","3,971만원"
(주)위키옵틱스,"3,018만원","6,374만원","5,076만원"
마린웍스(주),"3,023만원","6,620만원","5,111만원"
(주)캠터,"2,340만원","4,579만원","3,117만원"
세종경영자문(주),"2,331만원","5,188만원","3,263만원"
(주)애드,"2,910만원","6,300만원","4,864만원"
(주)유라클,"3,333만원","7,721만원","5,816만원"
(주)웅진컴퍼스,"3,447만원","7,037만원","6,083만원"
엔에이치엔케이씨피,"3,624만원","8,462만원","6,942만원"
(주)우리윈,"3,246만원","6,897만원","5,679만원"
(주)라이브워크,"2,555만원","5,468만원","3,464만원"
에이스아메리칸화재해상보험(주),"4,103만원","9,347만원","7,869만원"
(주)테크에이스지엑스,"3,517만원","7,929만원","6,759만원"
디플래닉스(주),"4,473만원","10,287만원","8,427만원"
(주)노아시스템즈,"4,940만원","9,594만원","9,078만원"
(주)엠젠솔루션,"2,877만원","6,307만원","4,648만원"
(주)에이아이썸,"3,349만원","7,647만원","6,384만원"
인티맥스(주),"3,784만원","8,249만원","7,021만원"
전체와부분(주),"3,326만원","6,575만원","5,538만원"
(주)파킹고,"3,068만원","6,920만원","5,274만원"
(주)리버스마운틴,"2,568만원","5,418만원","3,373만원"
(주)지에스티,"2,832만원","6,426만원","4,569만원"
(주)시즐,"3,617만원","8,032만원","6,890만원"
(주)에임메드,"2,997만원","6,361만원","5,133만원"
(주)알티올,"3,482만원","8,158만원","6,977만원"
(주)스카이앤드,"2,836만원","6,116만원","4,304만원"
(주)비지트,"3,069만원","6,922만원","5,277만원"
(주)크로프트,"2,942만원","5,465만원","4,251만원"
(주)아이이에스지,"3,029만원","7,090만원","5,168만원"
(주)웨어밸리,"3,450만원","7,929만원","6,570만원"
(주)휴이노,"4,296만원","9,129만원","8,290만원"
에스팩(주),"2,979만원","6,536만원","4,991만원"
(주)에스엠해썹,"3,117만원","7,235만원","5,408만원"
(주)인커스소프트,"2,986만원","6,366만원","4,373만원"
(주)더마펌,"3,067만원","6,205만원","5,227만원"
(주)비쥬웍스,"2,907만원","6,605만원","4,847만원"
(주)디바인테크놀로지,"3,488만원","7,879만원","6,669만원"
엑시나(주),"4,953만원","10,159만원","9,566만원"
(주)에이치엠솔루션,"3,762만원","8,442만원","7,041만원"
(주)디노텍,"3,615만원","7,611만원","6,495만원"
(주)큐피스트,"3,443만원","8,070만원","6,820만원"
뉴로핏(주),"3,451만원","8,081만원","6,872만원"
LS증권 주식회사,"5,739만원","12,842만원","11,783만원"
(주)아크,"2,551만원","5,308만원","3,743만원"
(주)아이엠그루,"3,178만원","7,210만원","5,728만원"
(주)듀얼아이,"3,420만원","7,134만원","5,973만원"
㈜텔릿 와이어리스 솔루션즈,"4,455만원","9,054만원","8,401만원"
(주)엔씨소프트,"4,945만원","11,243만원","10,731만원"
(주)인픽스,"3,135만원","7,023만원","5,479만원"
에스에스앤씨(주),"2,907만원","6,676만원","4,865만원"
(주)아그모,"2,799만원","6,050만원","4,536만원"
유안타증권 주식회사,"4,883만원","11,163만원","10,480만원"
(주)엘로이랩,"3,319만원","7,580만원","6,263만원"
(주)어메스,"3,450만원","7,991만원","6,846만원"
오픈서베이,"3,664만원","8,396만원","7,240만원"
씨큐브(주),"4,204만원","8,204만원","7,776만원"
(주)와이즈버즈,"2,996만원","6,753만원","5,108만원"
(주)한국로슈,"3,853만원","9,224만원","7,157만원"
(주)헤스티아,"2,867만원","5,882만원","4,614만원"
글로하우홀딩스 연락사무소,"5,294만원","10,953만원","9,812만원"
(주)아이유노글로벌,"2,836만원","6,430만원","4,591만원"
대보정보통신(주),"2,810만원","6,011만원","4,631만원"
(주)에스티에이테스팅컨설팅,"2,832만원","6,334만원","4,298만원"
(주)미트박스글로벌,"3,636만원","7,860만원","6,969만원"
(주)하이아스,"2,924만원","6,640만원","4,912만원"
(주)유리프트,"3,014만원","6,872만원","5,218만원"
(주)삼천리네트웍스,"3,156만원","6,777만원","5,532만원"
(주)쿨스쿨,"3,473만원","7,323만원","6,247만원"
(주)이스턴네트웍스,"3,645만원","7,897만원","6,581만원"
(주)퍼플아이오,"3,436만원","7,847만원","6,526만원"
(주)데이터에듀,"2,632만원","5,756만원","4,110만원"
한패스(주),"3,182만원","7,210만원","5,531만원"
(주)마카롱팩토리,"3,075만원","7,393만원","5,299만원"
한국지능형교통체계협회,"4,232만원","8,352만원","7,931만원"
(주)임팩시스,"2,811만원","6,187만원","4,208만원"
(주)링크프라이스,"2,797만원","6,680만원","4,533만원"
(주)브레이브모바일,"3,079만원","7,118만원","5,472만원"
(주)에이에스티홀딩스,"3,011만원","6,931만원","5,229만원"
(주)아이오바이오,"2,846만원","6,345만원","4,326만원"
(주)브레디스헬스케어,"3,217만원","7,194만원","5,630만원"
(주)이즈소프트,"3,473만원","8,141만원","6,939만원"
(주)비아블,"3,138만원","6,592만원","5,465만원"
에스씨지랩(주),"3,456만원","8,101만원","6,872만원"
(주)테크랩스,"2,945만원","6,820만원","5,049만원"
(주)브레인데크,"2,746만원","5,896만원","4,056만원"
(주)해긴,"3,371만원","7,351만원","5,904만원"
(주)컴퓨터메이트,"3,096만원","6,873만원","5,546만원"
(주)바로고,"3,460만원","8,394만원","6,357만원"
(주)인사이드아웃,"2,563만원","4,841만원","3,534만원"
(주)비스텔리젼스,"3,484만원","7,957만원","6,677만원"
(주)제트플레이,"2,929만원","6,011만원","4,795만원"
(주)올레이어,"3,592만원","7,846만원","6,809만원"
(주)세븐미어캣,"3,450만원","7,759만원","6,547만원"
번개장터(주),"3,473만원","8,142만원","6,957만원"
솔닥(주),"3,163만원","7,253만원","5,672만원"
(주)나도기브,"3,093만원","6,795만원","5,355만원"
(주)아임웹,"3,808만원","8,567만원","7,139만원"
(주)미래와도전,"4,695만원","9,579만원","9,004만원"
(주)위펀,"2,802만원","6,423만원","4,457만원"
한국아이큐비아(주),"3,808만원","8,278만원","7,257만원"
한국단자공업(주),"3,898만원","7,755만원","7,343만원"
(주)마이공사,"2,793만원","5,915만원","4,127만원"
(주)팀그릿,"2,639만원","5,933만원","3,895만원"
(주)룰루랩,"3,453만원","8,005만원","7,337만원"
켐아이넷(주),"2,902만원","6,846만원","4,807만원"
(주)알파브라더스,"2,472만원","5,718만원","3,605만원"
(주)브라이센코리아,"3,094만원","7,153만원","5,533만원"
아이픽셀(주),"3,317만원","7,577만원","6,257만원"
(주)서울경제신문,"3,443만원","7,600만원","6,623만원"
오토앤주식회사,"2,796만원","5,925만원","4,244만원"
주식회사 테크핀레이팅스,"4,947만원","10,669만원","8,730만원"
(주)위레이저,"4,253만원","9,713만원","9,068만원"
(주)아스크스토리디에스,"3,049만원","6,951만원","5,360만원"
(주)피엠그로우,"3,686만원","7,541만원","6,784만원"
（주）한국정보통계,"2,590만원","5,714만원","3,676만원"
(주)보스반도체,"4,348만원","9,266만원","8,100만원"
주식회사 미리내에이아이,"4,445만원","9,182만원","8,040만원"
서던포스트,"2,809만원","6,322만원","4,571만원"
(주)씨티티디,"2,477만원","5,746만원","3,537만원"
(주)공간몬스터,"2,792만원","6,405만원","4,239만원"
GOPIZZA,"2,467만원","5,195만원","3,523만원"
(주)로봇앤드디자인,"3,669만원","7,338만원","6,550만원"
(주)퀀티파이드이에스지,"2,876만원","6,483만원","4,624만원"
아이쉴드,"3,433만원","6,664만원","5,612만원"
드림마크원(주),"5,284만원","9,591만원","9,346만원"
(주)알세미,"4,811만원","10,109만원","8,761만원"
코넥티브(주),"4,020만원","9,234만원","7,831만원"
(주)데이터스프링코리아,"3,122만원","6,903만원","5,459만원"
(주)클레,"3,224만원","7,288만원","5,839만원"
(주)애이마,"4,621만원","8,977만원","8,206만원"
청오디피케이(주),"2,348만원","5,332만원","3,375만원"
(주)러닝비전,"3,488만원","7,173만원","6,108만원"
주식회사 스타팅웨이브,"3,144만원","6,625만원","5,449만원"
(주)브레인커머스,"3,489만원","7,229만원","6,179만원"
주안에프앤비 주식회사 농업회사법인,"3,276만원","6,368만원","5,382만원"
굿어스(주),"3,030만원","7,125만원","5,181만원"
(주)세니젠,"3,082만원","6,424만원","5,283만원"
(주)한국경영원,"2,608만원","6,176만원","4,051만원"
(주)푸드나무,"2,351만원","5,302만원","3,096만원"
(주)더리얼그룹,"3,161만원","6,142만원","5,067만원"
(주)구름,"3,024만원","6,963만원","5,272만원"
주식회사 스파크플러스,"3,133만원","6,849만원","5,505만원"
(주)와이즈테크놀로지,"3,224만원","7,368만원","5,841만원"
(주)에어키,"3,700만원","7,799만원","6,688만원"
(주)에피소든,"3,697만원","7,124만원","6,138만원"
(주)비글즈,"2,927만원","7,028만원","4,885만원"
비에이티(주),"2,894만원","6,548만원","4,823만원"
팀업그레이드코리아(주),"3,473만원","6,988만원","6,272만원"
(주)에이치앤컨설팅,"2,984만원","6,464만원","5,061만원"
(주)스트리미,"4,180만원","9,191만원","7,987만원"
에스지에이(주),"2,357만원","6,181만원","3,312만원"
(주)바이온테크,"3,175만원","7,069만원","5,533만원"
세광정보통신 주식회사,"2,636만원","5,681만원","4,157만원"
제이피아이헬스케어(주),"3,805만원","7,997만원","7,523만원"
건솔루션(주),"3,183만원","7,226만원","5,765만원"
(주)에스제이소프트,"2,488만원","5,385만원","3,570만원"
(주)인싸이트,"2,592만원","5,805만원","3,969만원"
(주)블루버드,"3,482만원","7,922만원","6,103만원"
(주)옥션원,"2,606만원","5,789만원","4,046만원"
(주)먼슬리키친,"2,802만원","6,484만원","4,469만원"
엘비유세스(주),"2,317만원","4,683만원","3,391만원"
(주)바이오인프라,"2,769만원","6,508만원","4,144만원"
(주)서진시스템,"3,275만원","6,850만원","5,738만원"
디지털퍼스트(주),"3,010만원","6,803만원","5,161만원"
(주)어플레이즈,"3,166만원","7,030만원","5,564만원"
(주)아울시스템즈,"2,906만원","6,626만원","4,724만원"
(주)천하이너스,"3,185만원","7,222만원","5,756만원"
(주)맨토스파워,"2,178만원","4,418만원","2,918만원"
레이니스트,"4,298만원","9,082만원","8,308만원"
라인플러스(주),"5,469만원","11,888만원","9,779만원"
(주)위버스마인드,"2,829만원","6,091만원","4,577만원"
다올티에스(주),"3,875만원","8,260만원","7,211만원"
한국기술신용평가(주),"3,222만원","6,754만원","5,672만원"
(주)히포케이메논,"2,891만원","6,517만원","4,687만원"
(주)엔에이치엔에이스,"4,249만원","9,285만원","8,312만원"
(주)우주조인어스홀딩스,"2,633만원","5,674만원","3,686만원"
(주)트릿지,"3,154만원","7,155만원","5,538만원"
(주)윈큐브마케팅,"2,845만원","6,012만원","4,603만원"
(주)광고인,"2,605만원","5,558만원","4,058만원"
(주)유비온,"3,046만원","6,881만원","5,358만원"
(주)그룹엠코리아,"3,428만원","8,861만원","6,589만원"
(주)제일씨앤씨,"2,793만원","6,045만원","4,255만원"
(주)스카우트,"2,533만원","5,232만원","3,363만원"
(주)샤플앤컴퍼니,"3,462만원","7,545만원","6,119만원"
에스엔에프코리아(주),"4,489만원","9,475만원","8,435만원"
(주)에이비씨랩스,"3,225만원","6,836만원","5,624만원"
(주)엘프스,"3,008만원","6,471만원","5,135만원"
(주)미래로시스템,"4,033만원","9,627만원","8,408만원"
유엔브이코리아 유한책임회사,"3,063만원","6,613만원","5,238만원"
(재)한국마이크로의료로봇연구원,"3,079만원","6,827만원","5,335만원"
엔셀 주식회사,"2,971만원","6,297만원","4,314만원"
(주)레디포스트,"3,083만원","7,064만원","5,475만원"
오가노이드사이언스(주),"3,575만원","8,077만원","6,813만원"
(주)도로,"2,440만원","5,343만원","3,447만원"
클라우드호스피탈(주),"3,428만원","7,774만원","6,236만원"
(주)마크앤컴퍼니,"3,580만원","7,667만원","6,806만원"
팅크웨어(주),"2,980만원","6,851만원","5,196만원"
(주)멋쟁이사자처럼,"3,092만원","6,165만원","5,335만원"
(주)큐로드,"2,772만원","5,736만원","4,202만원"
트리플콤마(주),"3,916만원","8,434만원","7,143만원"
(주)버티고우게임즈,"3,245만원","7,557만원","5,687만원"
(주)동아테크놀로지,"2,809만원","5,936만원","4,479만원"
(주)의식주컴퍼니,"2,757만원","5,616만원","4,331만원"
(주)로아스,"2,988만원","5,986만원","4,578만원"
(주)아이덴티티게임즈,"3,054만원","7,479만원","5,242만원"
(사)넥스트,"3,862만원","7,801만원","7,052만원"
(주)하이테커,"2,615만원","5,956만원","3,819만원"
(주)에이아이비드,"2,815만원","6,004만원","4,585만원"
(주)에스엠코어,"3,372만원","6,548만원","5,848만원"
(주)나스미디어,"3,327만원","7,838만원","5,958만원"
(주)몬데인컨설팅,"2,735만원","5,775만원","3,887만원"
(주)팜스빌,"2,529만원","5,639만원","3,677만원"
(주)오누이,"2,914만원","6,099만원","4,874만원"
범호아이티(주),"2,941만원","6,679만원","4,982만원"
(주)오너클랜,"2,630만원","6,042만원","4,115만원"
(주)하이컨시,"2,755만원","5,951만원","4,327만원"
와디즈 주식회사,"3,596만원","7,801만원","6,919만원"
캐롯손해보험(주),"3,432만원","8,604만원","6,098만원"
(주)씨제이메조미디어,"3,900만원","8,757만원","7,764만원"
(주)코드스테이츠,"3,101만원","6,421만원","5,353만원"
(주)카택스,"2,750만원","6,094만원","4,069만원"
닐슨아이큐서비스코리아(유),"3,069만원","6,590만원","5,303만원"
(주)원유니버스,"3,377만원","7,376만원","5,935만원"
글로벌엠아이지,"2,615만원","5,958만원","4,088만원"
에브리봇(주),"3,024만원","6,749만원","5,115만원"
어스얼라이언스(주),"3,272만원","7,018만원","5,790만원"
씨제이포디플렉스(주),"3,720만원","8,023만원","6,745만원"
(주)에코에이블,"3,713만원","7,563만원","6,708만원"
CJ(주),"4,716만원","9,994만원","9,802만원"
퓨처메인(주),"3,030만원","7,037만원","5,170만원"
앤시스코리아유한책임회사,"4,859만원","10,116만원","9,481만원"
(주)산타,"3,097만원","6,520만원","5,577만원"
(주)에스티유니타스,"3,038만원","6,387만원","5,192만원"
(주)그로스인터랙티브,"2,515만원","5,218만원","3,781만원"
(주)트래블월렛,"4,222만원","9,154만원","7,837만원"
(주)컬리,"2,990만원","5,689만원","4,800만원"
슈어엠(주),"2,909만원","6,561만원","4,761만원"
(주)드림어스컴퍼니,"3,188만원","8,238만원","5,637만원"
(주)크레셈,"3,443만원","7,684만원","6,324만원"
(주)짐싸,"3,087만원","7,147만원","5,491만원"
(주)윙스,"2,571만원","5,424만원","3,385만원"
(주)한독,"3,667만원","8,766만원","7,362만원"
(주)서원정보,"3,302만원","7,653만원","6,218만원"
(주)맨파워코리아,"2,631만원","5,000만원","3,838만원"
(주)웨비나스,"2,675만원","6,045만원","4,072만원"
전라남도농업기술원,"2,443만원","5,087만원","3,557만원"
(주)티씨컴퍼니,"2,776만원","6,752만원","4,431만원"
엘지유니참(주),"4,273만원","8,860만원","7,989만원"
(주)엔에스씨비씨,"4,317만원","9,005만원","7,990만원"
(주)더워터멜론티더블유씨,"3,464만원","7,432만원","6,386만원"
(주)위두소프트,"2,624만원","5,906만원","3,660만원"
(주)디케이앤디,"2,925만원","6,332만원","4,842만원"
(주)씨메스,"3,448만원","7,405만원","6,024만원"
(주)엠디에스테크,"3,301만원","7,618만원","6,212만원"
(주)맘편한세상,"3,430만원","7,974만원","6,245만원"
(주)옵토마인드,"3,163만원","6,698만원","5,553만원"
스푼(주),"3,626만원","7,884만원","6,672만원"
(주)업테라,"3,727만원","8,087만원","6,760만원"
(주)프레인글로벌,"2,860만원","7,145만원","4,711만원"
(주)우아한형제들,"4,134만원","9,629만원","9,204만원"
이투스에듀(주),"2,796만원","5,784만원","4,617만원"
(주)티처케이,"3,034만원","6,001만원","4,653만원"
(주)인비고웍스,"2,983만원","6,647만원","5,106만원"
디엑솜,"3,661만원","7,747만원","6,971만원"
(주)매경닷컴,"3,122만원","7,131만원","5,437만원"
(주)모노플로우,"2,475만원","5,439만원","3,341만원"
주식회사고픽커뮤니케이션,"2,954만원","6,129만원","4,964만원"
(주)엔클로니,"3,112만원","6,724만원","5,376만원"
농업회사법인(주)민속친한우,"2,808만원","5,893만원","4,528만원"
(주)미소앤클라우드,"2,654만원","5,551만원","3,545만원"
(주)오비고,"3,641만원","8,459만원","6,988만원"
(주)산소프트,"4,156만원","8,727만원","7,960만원"
(주)에이피알,"3,085만원","6,861만원","5,394만원"
(주)업라이트컨설팅,"3,075만원","6,131만원","4,889만원"
(주)에이치에스오코리아,"3,100만원","6,321만원","4,928만원"
(주)위플랫폼,"2,799만원","6,308만원","4,536만원"
(주)솔루티스,"3,254만원","7,439만원","5,953만원"
(주)에이블런,"2,574만원","5,362만원","4,008만원"
IPX,"4,667만원","10,837만원","8,901만원"
데상트코리아(주),"3,165만원","7,276만원","5,777만원"
(주)아이스크림미디어,"3,409만원","7,583만원","6,577만원"
(주)루시드랩,"3,094만원","6,559만원","5,044만원"
(주)프로그레스미디어,"2,452만원","5,600만원","3,509만원"
(주)테이크네트웍스,"2,864만원","6,133만원","4,381만원"
(주)자이언트스텝,"3,086만원","7,291만원","4,884만원"
(주)렛유인에듀,"2,783만원","5,553만원","4,490만원"
(주)엔바이어스,"3,423만원","7,031만원","5,982만원"
(주)덱스터크레마,"3,127만원","7,060만원","5,493만원"
(주)자비스,"3,148만원","6,783만원","5,463만원"
(주)제이애드랩,"3,779만원","7,360만원","6,464만원"
(주)폭스에듀,"3,100만원","7,179만원","5,395만원"
동서페더럴모굴(주),"4,841만원","8,687만원","9,250만원"
비유바움(주),"2,826만원","6,761만원","4,589만원"
(주)디알젬,"3,138만원","6,676만원","5,430만원"
(주)바로팜,"3,667만원","8,242만원","6,665만원"
(주)엠지알브이,"3,651만원","7,304만원","6,875만원"
제이어스(주),"3,185만원","6,849만원","5,567만원"
주식회사 콩벤처스,"2,664만원","5,620만원","3,613만원"
주식회사에이비엠랩(ABMLabCorp.),"3,075만원","7,047만원","5,444만원"
(주)디어유,"4,383만원","10,241만원","8,667만원"
전능아이티(주),"2,925만원","6,413만원","4,405만원"
농업회사법인만나씨이에이(주),"2,755만원","5,846만원","4,408만원"
주식회사 유디엠,"3,131만원","6,836만원","5,474만원"
(주)인티그레이션,"3,343만원","7,711만원","6,379만원"
(주)소통파이브,"2,455만원","5,444만원","3,500만원"
(주)리마케팅컴퍼니,"2,782만원","6,847만원","4,224만원"
(주)유엔아이엔스,"3,117만원","6,337만원","4,976만원"
(주)블렌드엑스,"3,119만원","7,045만원","5,451만원"
(주)보이스루,"3,216만원","7,375만원","5,833만원"
(주)에이아이클라우드,"2,782만원","5,644만원","4,190만원"
(주)제이시스메디칼,"6,858만원","13,032만원","17,884만원"
(주)인엘씨테크놀러지,"3,626만원","7,763만원","6,862만원"
(주)교원투어,"2,758만원","5,799만원","4,436만원"
(주)디스럽트,"2,862만원","6,379만원","4,616만원"
(주)인터크로스,"2,897만원","6,523만원","4,823만원"
(주)바름,"3,941만원","7,799만원","7,039만원"
오아(주),"3,169만원","6,654만원","5,582만원"
(주)더블유컴즈,"2,581만원","4,987만원","3,952만원"
재단법인 플랜한국위원회,"2,783만원","5,694만원","4,215만원"
(주)무신사,"3,564만원","8,275만원","7,498만원"
(주)테크타카,"3,765만원","8,666만원","7,559만원"
아이오엔(주),"2,978만원","5,779만원","4,350만원"
(주)비이교육,"2,808만원","5,947만원","4,323만원"
(주)에이치알엠,"2,932만원","5,498만원","4,917만원"
(주)스카우트파트너스,"3,450만원","6,824만원","6,362만원"
(주)디쉐어,"2,590만원","6,097만원","3,489만원"
(주)맥킨리라이스,"2,995만원","6,823만원","5,160만원"
(주)닷어스,"2,781만원","5,501만원","4,205만원"
(주)뉴로메카,"2,837만원","6,450만원","4,573만원"
(주)수젠텍,"2,834만원","6,162만원","4,562만원"
세일즈웍스코리아(유),"2,806만원","5,574만원","4,298만원"
트리노드(주),"3,459만원","8,608만원","6,354만원"
(주)퍼포매드,"2,686만원","5,674만원","3,884만원"
(주)아이뱅크,"2,835만원","6,482만원","4,588만원"
(주)바이트랩,"2,567만원","5,551만원","3,888만원"
(주)명성,"2,620만원","5,730만원","3,982만원"
(주)론픽,"2,810만원","6,177만원","4,499만원"
(주)함샤우트글로벌,"2,803만원","5,834만원","4,304만원"
(주)이루다마케팅,"2,897만원","6,527만원","4,747만원"
한국공간정보(주),"2,352만원","5,451만원","3,330만원"
(주)룩인사이트,"2,914만원","6,182만원","4,446만원"
(주)에이블리코퍼레이션,"3,579만원","7,695만원","6,580만원"
