기업명,최저_연봉,최고_연봉,평균_연봉
(주)미라클인터랙티브,"2,358만원","5,393만원","3,154만원"
(주)레디앤스타트,"3,226만원","7,082만원","5,242만원"
(주)유니컨,"4,357만원","9,144만원","8,100만원"
(주)에스피에스컴퍼니,"2,555만원","4,973만원","3,484만원"
(주)피치,"2,338만원","5,208만원","3,254만원"
아이비커리어(주),"2,517만원","4,623만원","3,465만원"
팅크웨어모바일(주),"3,826만원","8,184만원","7,069만원"
(주)제이씨에프테크놀러지,"3,610만원","7,680만원","6,811만원"
(주)비전스페이스,"3,876만원","7,961만원","7,161만원"
(주)카카오스타일,"3,226만원","7,379만원","6,122만원"
(주)메디인테크,"3,117만원","6,728만원","5,376만원"
(주)아파트너스,"2,588만원","5,797만원","3,675만원"
(주)메타기획컨설팅,"3,064만원","6,617만원","5,243만원"
(주)헌터더글라스코리아,"3,646만원","6,961만원","6,504만원"
더블유피아이씨디지털코리아유한회사(WPICDigitalKoreaLtd.),"3,070만원","6,418만원","5,254만원"
(주)서스테이너블컨설팅,"2,483만원","5,412만원","3,587만원"
(주)미래엔,"3,535만원","7,182만원","6,564만원"
(주)뉴스와사람들,"2,609만원","5,974만원","3,588만원"
(주)비로보틱스,"3,371만원","7,628만원","5,912만원"
(주)광주은행,"4,847만원","11,409만원","9,984만원"
(주)이암허브,"2,700만원","5,482만원","3,742만원"
킨도프(주),"2,973만원","6,320만원","4,965만원"
(주)애드락애드버테인먼트,"3,688만원","7,890만원","6,657만원"
(주)이프커뮤니티,"2,990만원","6,802만원","5,139만원"
협동조합한국농산업조사연구소,"3,320만원","6,567만원","5,522만원"
(주)애드디에스,"2,327만원","5,343만원","3,059만원"
(주)케이옥션,"3,231만원","6,839만원","5,660만원"
비아이컴퍼니(주),"3,659만원","7,625만원","6,324만원"
세이지(주),"4,033만원","9,493만원","8,398만원"
(주)피아이이,"3,492만원","7,163만원","6,127만원"
주식회사 청담글로벌,"2,376만원","5,282만원","3,372만원"
인포스탁(주),"3,212만원","7,267만원","5,802만원"
(주)바텍엠시스,"3,041만원","6,782만원","5,200만원"
(주)바로타자,"2,485만원","4,708만원","3,195만원"
(주)야나두,"3,627만원","7,424만원","6,803만원"
젠지이스포츠글로벌아카데미(유),"2,842만원","5,325만원","4,383만원"
엔에이치엔애드(주),"3,328만원","7,249만원","5,837만원"
케이투코리아(주),"4,296만원","8,822만원","8,148만원"
(주)크레듀,"2,265만원","6,043만원","2,571만원"
던롭스포츠코리아(주),"4,248만원","8,663만원","8,007만원"
(주)마루에이치알,"2,450만원","4,971만원","3,573만원"
(주)차헬스케어,"4,217만원","8,969만원","8,226만원"
에이치알서비스(주),"2,505만원","5,081만원","3,732만원"
(주)스마일코리아,"2,602만원","6,007만원","4,005만원"
(주)플래니어,"2,964만원","5,777만원","4,590만원"
(주)대윤기획,"2,362만원","5,446만원","3,362만원"
프로메가코리아(유),"4,505만원","9,176만원","8,483만원"
(주)살만,"2,440만원","5,370만원","3,244만원"
(주)더비팀그룹,"2,971만원","5,812만원","4,577만원"
에어에너지키트코(유),"3,596만원","7,496만원","6,849만원"
주) 석세스코리아컨설팅,"2,759만원","5,907만원","4,405만원"
(주)더스크랙,"2,544만원","5,423만원","3,778만원"
(주)아이포트폴리오,"3,242만원","7,429만원","5,917만원"
(주)밸류링크코리아,"2,530만원","5,126만원","3,810만원"
코코넛사일로(주),"2,811만원","6,246만원","4,212만원"
(주)제이엘티,"3,024만원","6,539만원","5,096만원"
(주)플랜비크리에이티브,"2,841만원","6,187만원","4,392만원"
(주)더넥스트제네레이션,"2,676만원","5,434만원","3,823만원"
주식회사 엠텍정보기술,"3,648만원","6,931만원","6,241만원"
(주)올리브인터내셔널,"3,145만원","6,835만원","5,508만원"
(주)에이치투오호스피탈리티,"3,619만원","7,501만원","6,950만원"
(주)바른인사컨설팅,"2,501만원","5,076만원","3,701만원"
아이디자인랩,"3,672만원","7,644만원","6,361만원"
(주)약손명가헬스케어,"2,938만원","6,141만원","4,915만원"
(주)메테오바이오텍,"2,770만원","5,973만원","4,444만원"
(주)인투알,"2,787만원","6,647만원","4,429만원"
(주)디스트릭트코리아,"3,692만원","8,407만원","7,331만원"
(주)케어닥,"3,438만원","7,851만원","6,532만원"
(주)폴싯,"3,370만원","6,851만원","5,893만원"
(주)필로메디,"2,726만원","5,528만원","3,997만원"
(주)아이엠씨게임즈,"2,877만원","7,014만원","4,651만원"
태전약품판매(주),"2,922만원","6,308만원","4,874만원"
신성통상(주),"3,427만원","7,903만원","6,944만원"
(주)에이치에너지,"2,884만원","6,227만원","4,698만원"
(주)스위트바이오,"3,257만원","6,903만원","5,668만원"
(주)휴가중,"2,788만원","5,610만원","4,269만원"
(주)신라홀딩스,"4,528만원","8,967만원","7,879만원"
비주얼바이브(주),"2,919만원","6,478만원","4,796만원"
(주)아이씨엔그룹,"2,774만원","5,875만원","4,201만원"
(주)아인스미디어,"2,845만원","6,346만원","4,481만원"
(주)마유비,"2,648만원","5,953만원","3,931만원"
(주)엣지랭크,"2,588만원","6,266만원","3,988만원"
토탈리빙(주),"2,604만원","5,570만원","3,928만원"
(주)골드넥스,"2,685만원","6,160만원","4,134만원"
(주)신지모루,"2,841만원","6,201만원","4,586만원"
(주)제이씨그룹,"2,458만원","5,139만원","3,476만원"
(주)글로벌스탠다드테크놀로지,"3,255만원","6,976만원","5,475만원"
(주)커넥터즈,"3,103만원","6,004만원","4,987만원"
(주)이커넥트,"2,636만원","5,735만원","4,157만원"
시네온티브이(주),"2,916만원","5,998만원","4,422만원"
(주)메타애드,"2,447만원","5,551만원","3,475만원"
(주)엠텍정보기술,"3,648만원","6,931만원","6,241만원"
삼전순약공업(주),"2,841만원","6,231만원","4,584만원"
(주)씨웨이7,"2,971만원","6,408만원","5,020만원"
(주)모닝인,"2,501만원","4,797만원","3,468만원"
스푼랩스,"3,345만원","7,714만원","6,385만원"
(주)와이지플러스,"3,055만원","8,525만원","5,245만원"
(사)지방자치정책연구원,"2,360만원","4,952만원","3,356만원"
(주)셀디랩,"2,525만원","5,311만원","3,663만원"
(주)보험계리법인써미트,"3,092만원","6,756만원","5,257만원"
부광약품(주),"3,411만원","7,282만원","6,170만원"
(주)매드코퍼레이션,"3,128만원","7,063만원","5,498만원"
(주)텐핑거스,"2,695만원","6,158만원","4,155만원"
(유)지역창안연구소,"2,001만원","4,277만원","2,533만원"
(주)공감만세,"3,013만원","6,220만원","5,172만원"
(주)모티브이노베이션,"3,419만원","7,469만원","6,241만원"
(주)오렌지랩,"2,452만원","5,559만원","3,490만원"
(주)뷰리드,"2,780만원","6,142만원","4,204만원"
(주)여기어때컴퍼니,"3,236만원","7,764만원","5,841만원"
(주)엔클루,"2,800만원","5,872만원","4,275만원"
(주)아임반,"2,636만원","5,930만원","4,067만원"
(주)여행가자고,"2,947만원","5,631만원","4,562만원"
(주)원드롭,"3,073만원","6,572만원","5,231만원"
(주)퍼플코퍼레이션,"4,190만원","8,097만원","7,771만원"
(주)비전브릿지파트너스,"2,484만원","5,003만원","3,686만원"
필드멘토(주),"2,746만원","5,291만원","4,098만원"
(주)온누리스토어,"3,153만원","6,699만원","5,538만원"
(주)벤디스,"2,974만원","6,847만원","5,077만원"
(유) 그래피,"2,554만원","5,286만원","3,462만원"
에코디엠랩(주),"2,941만원","5,834만원","4,792만원"
(주)유니벨,"3,804만원","7,938만원","7,249만원"
(주)퍼포먼스애드,"2,916만원","5,918만원","4,204만원"
(주)부스터즈,"3,086만원","6,928만원","5,366만원"
(주)다이버,"2,820만원","6,265만원","4,246만원"
(주)윗유,"2,762만원","6,245만원","4,421만원"
윈지디코리아(유),"4,698만원","9,608만원","8,872만원"
(주)키스템프그룹,"2,636만원","4,932만원","3,537만원"
(주)지엔엠라이프,"3,230만원","6,790만원","5,656만원"
(주)멀틱스,"2,926만원","6,853만원","4,784만원"
(주)키스톤마케팅컴퍼니,"2,862만원","6,468만원","4,635만원"
(주)에이엠피엠글로벌,"2,786만원","6,055만원","4,519만원"
마인이스(주),"2,653만원","5,745만원","4,192만원"
(주)투유드림,"2,942만원","6,267만원","4,950만원"
로얄앤컴퍼니(주),"2,793만원","5,851만원","4,435만원"
(주)인포벨,"2,955만원","6,299만원","4,971만원"
(주)모티브아이디어스,"2,893만원","6,559만원","4,812만원"
환인제약(주),"3,497만원","7,731만원","6,449만원"
(주)일신엔터프라이즈,"3,212만원","6,112만원","5,162만원"
(주)노마드트래블,"2,313만원","4,860만원","3,229만원"
지멘스에너지(유),"4,844만원","9,299만원","9,298만원"
(주)티오텍,"2,886만원","6,072만원","4,603만원"
(주)고운세상코스메틱,"3,073만원","6,728만원","5,245만원"
(주)마초의사춘기,"2,835만원","6,480만원","4,375만원"
(주)미래피엠피,"2,967만원","6,729만원","5,024만원"
진에딧코리아 유한회사,"4,458만원","8,191만원","7,335만원"
이앤비정보통신(주),"2,772만원","5,936만원","4,462만원"
아고다트레블오퍼레이션스코리아(유),"2,802만원","5,258만원","4,346만원"
랩앤피플(주),"2,892만원","6,271만원","4,624만원"
(재)록원바이오융합연구재단,"2,811만원","5,610만원","4,291만원"
(주)루다드림,"2,492만원","5,223만원","3,609만원"
울산대학교산학협력단,"2,514만원","5,390만원","3,811만원"
더화이트커뮤니케이션(주),"2,532만원","5,657만원","3,793만원"
현대엔지니어링(주),"4,218만원","9,590만원","9,026만원"
주식회사 블루핀부동산중개법인,"4,642만원","9,879만원","8,450만원"
(주)인터빅뱅,"2,503만원","5,351만원","3,647만원"
에이지엘(주),"3,523만원","8,055만원","6,799만원"
한국에너지공과대학교,"2,959만원","6,051만원","4,987만원"
(주)익스트림,"2,828만원","5,969만원","4,274만원"
주식회사 리만코리아,"3,684만원","7,918만원","6,942만원"
(주)코어덤,"2,510만원","5,688만원","3,706만원"
(주)다트미디어,"3,002만원","7,141만원","5,115만원"
(주)홀블렌딩,"3,337만원","6,786만원","5,802만원"
(주)고고팩토리,"2,799만원","6,415만원","4,440만원"
(주)더생각,"3,179만원","6,514만원","5,150만원"
로카101(주),"2,949만원","7,066만원","4,954만원"
엔씨에이취코리아(주),"3,487만원","7,281만원","6,387만원"
(주)원인어헌드레드,"3,095만원","5,995만원","4,776만원"
(주)바이오컴플릿,"3,020만원","6,604만원","5,131만원"
(주)판다인,"2,940만원","5,601만원","4,240만원"
(주)더블유라이프앤케어,"3,038만원","6,346만원","5,194만원"
(주)에이치유지,"2,940만원","6,210만원","4,922만원"
(주)아싸컴,"2,634만원","5,822만원","4,077만원"
(주)발란,"3,427만원","8,011만원","6,898만원"
패스트파이브(주),"3,461만원","7,243만원","6,189만원"
인피콘(주),"4,215만원","8,962만원","7,918만원"
(주)피피비스튜디오스,"2,600만원","6,255만원","4,008만원"
(주)지에스에이,"3,662만원","7,501만원","6,552만원"
(주)비바엔에스,"2,902만원","6,665만원","4,808만원"
글로우업리즈(주),"2,500만원","5,296만원","3,640만원"
(주)원진바이오테크놀로지,"4,179만원","8,897만원","7,785만원"
한국인테그리스(주),"3,433만원","7,411만원","6,269만원"
에코플렉스(유),"2,935만원","6,087만원","4,765만원"
(주)푸드케어,"2,551만원","4,885만원","3,746만원"
(주)현대홈쇼핑,"3,507만원","7,772만원","6,429만원"
(주)투엘바이오,"2,365만원","5,183만원","3,280만원"
(주)와이엘사이언스,"2,642만원","5,714만원","4,136만원"
(주)리온인베스트먼트,"2,384만원","4,975만원","3,197만원"
(주)셀엔백스,"3,140만원","6,920만원","5,507만원"
장영 유한책임회사,"3,816만원","7,775만원","6,771만원"
(주)소윤컴퍼니,"2,461만원","4,643만원","3,399만원"
(주)비에스그룹,"2,436만원","5,533만원","3,442만원"
(주)타운즈,"3,458만원","7,305만원","6,332만원"
(주)아이알컴즈,"2,611만원","5,596만원","4,076만원"
(주)편한가,"2,540만원","5,175만원","3,765만원"
맥시마이저(주),"2,928만원","6,271만원","4,895만원"
한국갭이어,"2,572만원","4,812만원","3,556만원"
(주)미래생명자원,"2,807만원","6,111만원","4,470만원"
(주)마이하우스,"2,618만원","5,572만원","4,009만원"
주식회사아이쉴드,"3,433만원","6,664만원","5,612만원"
투자자문콜드브루주식회사,"3,166만원","6,671만원","5,514만원"
엘리멘탈사이언티픽인스트루먼츠코리아(유),"3,593만원","7,571만원","6,833만원"
허밍스토리(주),"3,042만원","6,912만원","5,227만원"
(주)웨니테크,"2,650만원","5,683만원","4,199만원"
한화시스템(주),"4,426만원","9,022만원","9,166만원"
(주)올림픽컨트리클럽,"3,876만원","6,834만원","6,823만원"
(주)먼치팩토리,"3,637만원","7,534만원","6,610만원"
(주)아이콘스,"3,135만원","6,875만원","5,421만원"
더조각(주),"2,537만원","5,142만원","3,861만원"
한국에스지에스(주),"3,172만원","7,503만원","5,921만원"
(주)더블미디어,"2,797만원","5,955만원","4,266만원"
(주)마케팅모먼트,"2,587만원","5,949만원","3,984만원"
웰트(주),"3,707만원","7,348만원","6,709만원"
(주)펫닥,"3,133만원","6,941만원","5,476만원"
(주)빌리지베이비,"2,700만원","6,163만원","4,177만원"
(주)샐러드랩,"2,786만원","6,115만원","4,463만원"
(주)한국타미야,"2,451만원","5,151만원","3,453만원"
(주)창마루,"3,172만원","6,921만원","5,526만원"
(주)디티앤씨알오,"2,443만원","5,727만원","3,527만원"
(주)코디아,"2,892만원","5,750만원","4,676만원"
"주식회사 올데이커뮤니케이션(ALLDAY Communication Co.,Ltd.)","2,543만원","5,797만원","3,827만원"
주식회사 노터스,"3,261만원","6,787만원","5,668만원"
(주)뉴보텍,"2,919만원","5,977만원","4,822만원"
(주)실리콘투,"2,833만원","6,323만원","4,336만원"
(주)케이몬즈,"2,917만원","5,862만원","4,423만원"
(주)그림,"3,293만원","6,947만원","5,796만원"
머스크컨트랙트로지스틱스코리아(유),"3,608만원","7,460만원","6,423만원"
(주)제이에스케이,"2,680만원","5,435만원","3,769만원"
엣지에너지(주),"4,064만원","8,197만원","7,416만원"
에빈코리아(유),"3,427만원","7,079만원","6,014만원"
카디널헬스코리아 유한회사,"4,927만원","10,295만원","9,453만원"
(주)아이브코리아,"2,704만원","6,171만원","4,193만원"
(주)카플,"2,890만원","6,126만원","4,669만원"
(주)청윤헬스케어,"2,788만원","5,778만원","4,226만원"
태그바이컴퍼니(주),"2,764만원","6,331만원","4,444만원"
주식회사엠앤비,"2,792만원","5,775만원","4,252만원"
(주)피아이코퍼레이션,"2,596만원","5,541만원","3,960만원"
㈜리큅,"2,928만원","6,558만원","4,832만원"
(주)모베이스전자,"3,558만원","7,445만원","6,522만원"
콘텐츠공동체협동조합,"2,361만원","5,304만원","3,160만원"
(주) 이스트엔드,"3,134만원","7,049만원","5,425만원"
(주)세일업,"2,482만원","5,664만원","3,618만원"
(주)이노바인코리아,"3,033만원","6,631만원","5,142만원"
리진바이오(주),"2,952만원","5,618만원","4,272만원"
(주)인테그라디앤씨,"3,713만원","7,779만원","6,709만원"
(주)세원정공,"4,375만원","8,883만원","8,867만원"
(주)브리드비인터내셔널,"2,573만원","5,702만원","3,851만원"
(주)위드잇컴퍼니,"2,944만원","6,358만원","4,970만원"
(주)와그,"3,026만원","6,647만원","5,166만원"
(주)글로비트,"2,634만원","5,486만원","4,060만원"
(주)페로카,"3,468만원","6,594만원","5,748만원"
(주)아이엠캔들,"2,812만원","6,253만원","4,488만원"
(주)그레이트북스,"3,044만원","6,337만원","5,219만원"
(주)퍼플오션코리아,"2,592만원","5,281만원","3,538만원"
서울대학교 생명공학공동연구원,"4,027만원","7,627만원","6,701만원"
(주)라이프위드코퍼레이션,"2,653만원","5,865만원","4,121만원"
(주)비아이지엠,"3,164만원","6,619만원","5,555만원"
(주)필리퍼,"2,982만원","6,045만원","4,309만원"
올라이프(주),"2,007만원","5,215만원","2,742만원"
민컴퍼니인터내셔널(주),"2,488만원","5,674만원","3,637만원"
(주)21세기건설,"3,260만원","6,869만원","5,671만원"
인테이크(주),"3,629만원","7,357만원","6,451만원"
주식회사 플레이스,"2,595만원","5,980만원","4,028만원"
블래스트(주),"3,006만원","6,783만원","5,114만원"
(주)이브릿지,"2,641만원","5,696만원","3,914만원"
유나이티드보더스(주),"2,652만원","6,001만원","4,168만원"
(주)포터블뉴트리션,"3,089만원","6,501만원","5,339만원"
(주)얀센백신,"3,697만원","8,144만원","6,602만원"
(주)에버트레져,"2,621만원","5,210만원","3,650만원"
(주)프로덕트온라인,"2,974만원","5,803만원","4,585만원"
(주)제이오텍,"3,013만원","6,566만원","5,423만원"
(주)비케이씨앤씨,"3,123만원","5,995만원","5,011만원"
(주)사일로,"2,783만원","5,756만원","4,486만원"
(주)에고이즘,"2,912만원","6,231만원","4,836만원"
(주)이루에프씨,"2,826만원","5,716만원","4,585만원"
(주)온누리커뮤니케이션,"3,049만원","5,902만원","4,693만원"
(주)타임교육,"2,501만원","5,737만원","3,835만원"
(주)안티그래비티,"3,044만원","6,558만원","5,158만원"
(주)세라컴,"3,076만원","6,464만원","5,255만원"
티씨엔코리아(주),"3,231만원","6,655만원","5,639만원"
(주)포토위젯,"3,470만원","7,848만원","6,612만원"
숙명여자대학교,"1,659만원","4,159만원","2,282만원"
(주)디핑컴퍼니,"2,659만원","5,690만원","4,131만원"
(주)앰비션플랜,"2,777만원","5,921만원","4,473만원"
케이지에이에셋(주),"2,473만원","5,359만원","3,490만원"
(주)블랑커뮤니케이션,"3,136만원","6,613만원","5,502만원"
(주)큐레이터스,"2,591만원","5,790만원","3,882만원"
(주)심플플래닛,"3,596만원","7,695만원","6,438만원"
(주)아람피앤피,"3,319만원","6,318만원","5,437만원"
(주)나아바코리아,"2,586만원","5,484만원","4,019만원"
(주)에브리세컨드,"3,098만원","6,127만원","4,954만원"
(주)대웅제약,"3,763만원","8,559만원","7,342만원"
(주)제너럴크리에이션,"2,786만원","5,901만원","4,100만원"
(주)헤렌,"2,907만원","6,598만원","4,873만원"
(주)황금에스티,"2,948만원","6,487만원","4,903만원"
(주)우주일렉트로닉스,"3,137만원","7,007만원","5,540만원"
캥스터즈(주),"2,853만원","5,911만원","4,349만원"
(주)에스제이그룹,"3,245만원","7,335만원","5,644만원"
(주)오르카랩,"2,446만원","5,179만원","3,034만원"
이유엔(주)-메디통,"3,061만원","7,153만원","5,252만원"
(주)에스제이듀코,"2,906만원","6,505만원","4,825만원"
(주)펠릭스랩,"2,595만원","5,809만원","3,901만원"
(주)애드마이비지니스,"2,572만원","4,953만원","3,512만원"
(주)아이비알커머스,"2,594만원","5,999만원","4,041만원"
(주)구하다,"3,062만원","7,230만원","5,260만원"
(주)무빙트립,"2,559만원","4,914만원","3,495만원"
(주)브로틴,"3,148만원","7,370만원","5,508만원"
(주)알엠지,"2,941만원","6,098만원","4,871만원"
(주)파이헬스케어,"2,815만원","5,887만원","4,235만원"
(주)정진바이오사이언스,"3,679만원","7,212만원","6,059만원"
(주)편강한방피부과학연구소,"2,817만원","6,016만원","4,247만원"
(주)리프이노베이션,"2,559만원","5,805만원","3,841만원"
인테그리스코리아(주),"3,558만원","8,263만원","6,814만원"
(주)글루가,"3,242만원","6,963만원","5,633만원"
프리펀컴퍼니(주),"2,329만원","4,660만원","3,352만원"
(주)네이처포뮬러,"3,062만원","5,920만원","4,730만원"
아이원스(주),"2,894만원","6,733만원","4,827만원"
주식회사 슬로우패스트,"2,436만원","4,835만원","3,514만원"
(주)인플루엔셜,"3,339만원","7,165만원","5,829만원"
(주)바이오포아,"3,292만원","6,601만원","5,650만원"
(주)승민환경건설,"2,404만원","4,753만원","3,001만원"
(주)컬처웨이,"2,755만원","5,921만원","4,410만원"
(주)알피스페이스,"2,811만원","6,301만원","4,309만원"
(주)노트닷컴,"2,367만원","5,415만원","3,340만원"
(주)써큘러랩스,"2,033만원","5,139만원","2,842만원"
(주)한성에프아이,"3,449만원","7,566만원","6,265만원"
(주)상상바이오,"2,523만원","5,340만원","3,729만원"
(주)폴리이에스씨,"3,062만원","6,367만원","5,236만원"
(주)케이제이씨디스플레이코퍼레이션,"3,102만원","7,553만원","5,337만원"
(주)에프앤엘코퍼레이션,"2,836만원","6,460만원","4,565만원"
(주)팬딩,"2,634만원","5,977만원","3,878만원"
(주)알마로꼬,"2,981만원","6,792만원","5,103만원"
(주)오래온라이프사이언스,"3,432만원","7,022만원","6,246만원"
(주)나우인터내셔널,"2,675만원","6,146만원","3,824만원"
(주)에이스라이프,"2,818만원","5,917만원","4,248만원"
(주)지아이코퍼레이션,"2,666만원","5,645만원","3,826만원"
(주)한국두성,"4,769만원","9,400만원","9,102만원"
씨아이커머스(주),"2,597만원","5,213만원","3,552만원"
(주)에스앤아이코퍼레이션,"3,862만원","8,009만원","7,942만원"
림피드(주),"2,440만원","4,628만원","3,017만원"
(주)센스맘,"2,840만원","6,116만원","4,576만원"
(주)동광인터내셔날,"3,142만원","7,016만원","5,452만원"
민컴퍼니인터내셔널주식회사,"2,488만원","5,674만원","3,637만원"
(주)피플앤코,"2,806만원","5,921만원","4,207만원"
(주)레이저발테크놀러지,"3,639만원","7,505만원","6,476만원"
농업회사법인 주식회사 두손애약초,"2,608만원","5,505만원","3,943만원"
(주)콘플로우컴퍼니,"2,817만원","6,146만원","4,317만원"
(주)에이케이에이,"3,241만원","6,892만원","5,706만원"
메디맵(주),"3,268만원","6,801만원","5,688만원"
현대위아(주),"4,707만원","10,641만원","11,660만원"
센트럴팜(주),"2,807만원","6,303만원","4,526만원"
(주)레진엔터테인먼트,"3,058만원","6,627만원","5,256만원"
(주)비브로,"2,934만원","6,327만원","4,903만원"
동승,"3,494만원","7,096만원","6,353만원"
굿리치(주),"2,894만원","6,258만원","4,902만원"
(주)카본에너지,"2,597만원","5,579만원","3,614만원"
(주)조이라이프,"2,984만원","6,181만원","4,565만원"
(주)알티파트너스,"3,268만원","6,476만원","5,392만원"
(주)비드솔로몬,"2,929만원","6,424만원","4,218만원"
엠즈푸드시스템(주),"3,021만원","5,965만원","5,159만원"
(주)대성문,"4,229만원","8,363만원","7,960만원"
(주)아르케인터내셔날,"3,162만원","6,516만원","5,552만원"
(주)제이디코프,"2,797만원","5,767만원","4,495만원"
㈜쎄듀,"2,915만원","6,267만원","4,769만원"
(주)이지다이아텍,"3,641만원","7,435만원","6,521만원"
씨그마알드리치코리아(유),"4,080만원","8,482만원","7,571만원"
(주)제이숲,"2,835만원","6,253만원","4,377만원"
제네톡스(주),"2,919만원","6,737만원","4,723만원"
(주)브랜드리팩터링,"2,641만원","5,577만원","4,134만원"
(주)DB하이텍,"4,155만원","9,860만원","8,963만원"
엠마슬립코리아 유한회사,"4,006만원","8,155만원","7,122만원"
(주)글로벌이지스,"2,749만원","5,445만원","4,064만원"
(주)하이업엔터테인먼트,"2,884만원","6,679만원","4,653만원"
(주)애니맥스브로드캐스팅코리아,"3,620만원","7,804만원","6,516만원"
(주)화컴,"3,151만원","6,983만원","5,614만원"
(주)엔큐라젠,"4,363만원","7,701만원","7,469만원"
에이치알넷원(주),"3,728만원","7,922만원","6,611만원"
(주)코아띠,"2,970만원","5,795만원","4,324만원"
다슈코리아(주),"3,154만원","6,871만원","5,524만원"
(주)현텍엔바이오,"2,887만원","6,344만원","4,605만원"
(주)에스제이더블유인터내셔널,"2,756만원","6,130만원","4,418만원"
(주)스윗솔루션,"2,045만원","5,007만원","2,776만원"
한국화장품(주),"3,231만원","6,815만원","5,641만원"
현대모비스(주),"4,993만원","11,331만원","12,235만원"
